"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.506884582,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.357657943,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.330901959,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.45347504,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-1.494445659,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-8.542121912,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.749510416,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.500378237,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.611571787,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.659041488,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-0.365230927,"P","Provisional value"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-9.200904545,"P","Provisional value"
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.551073721,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,-0.017923531,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.325823198,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.149395602,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-2.522693203,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-19.810925559,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.707185062,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.301344217,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.02879816,,
